org,repo,url,number,author,created_at,merged_at,changed_files,commits,additions,deletions,reviews,time_of_first_review,reviewers,hours_open,hours_to_first_review,minutes_to_first_review
tumblr,colossus,https://github.com/tumblr/colossus/pull/143,143,nsauro,2015-03-05T18:10:42Z,2015-03-06T19:53:09Z,2,2,2,3,0,,,25.71,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/144,144,nsauro,2015-03-06T21:31:42Z,2015-03-06T22:02:22Z,2,1,28,0,0,,,0.51,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/145,145,DanSimon,2015-03-06T23:03:00Z,2015-03-09T15:52:34Z,1,1,28,2,0,,,64.83,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/146,146,nsauro,2015-03-09T13:48:46Z,2015-03-09T15:52:16Z,1,1,6,2,0,,,2.06,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/148,148,DanSimon,2015-03-12T00:30:27Z,2015-03-13T14:10:17Z,8,1,142,55,0,,,37.66,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/149,149,reeve,2015-03-12T18:44:39Z,2015-03-13T17:27:06Z,9,4,62,30,0,,,22.71,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/150,150,reeve,2015-03-13T17:31:59Z,2015-04-20T21:56:27Z,4,5,46,5,0,,,916.41,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/151,151,DanSimon,2015-03-13T18:38:18Z,2015-03-13T19:28:33Z,2,2,2,4,0,,,0.84,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/152,152,DanSimon,2015-03-20T17:08:59Z,2015-03-20T21:55:31Z,14,5,275,533,0,,,4.78,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/159,159,nsauro,2015-03-23T17:24:08Z,2015-03-23T18:26:26Z,3,1,101,11,0,,,1.04,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/160,160,DanSimon,2015-03-23T18:23:05Z,2015-03-23T19:03:11Z,11,2,65,119,0,,,0.67,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/161,161,nsauro,2015-03-23T19:01:31Z,2015-03-23T20:20:40Z,5,1,54,143,0,,,1.32,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/164,164,nsauro,2015-03-24T17:54:04Z,2015-03-24T18:23:28Z,3,1,37,54,0,,,0.49,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/165,165,nsauro,2015-03-25T20:43:40Z,2015-03-27T21:19:30Z,4,3,183,55,0,,,48.6,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/171,171,nsauro,2015-03-30T14:38:31Z,2015-03-31T17:53:53Z,2,2,23,11,0,,,27.26,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/172,172,nsauro,2015-03-30T20:49:30Z,2015-03-31T15:28:00Z,3,6,150,79,0,,,18.64,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/173,173,nsauro,2015-03-31T16:04:53Z,2015-03-31T17:54:29Z,1,1,8,6,0,,,1.83,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/174,174,DanSimon,2015-03-31T17:16:48Z,2015-03-31T18:02:03Z,15,16,208,154,0,,,0.75,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/176,176,DanSimon,2015-03-31T18:45:11Z,2015-03-31T18:49:18Z,26,43,851,728,0,,,0.07,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/177,177,nsauro,2015-04-01T13:21:47Z,2015-04-01T18:11:42Z,7,2,109,61,0,,,4.83,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/178,178,DanSimon,2015-04-01T16:17:13Z,2015-04-01T18:02:53Z,9,1,101,34,0,,,1.76,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/179,179,DanSimon,2015-04-01T16:18:48Z,2015-04-01T18:03:45Z,4,1,9,5,0,,,1.75,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/180,180,DanSimon,2015-04-01T19:14:08Z,2015-04-01T19:28:46Z,2,1,36,1,0,,,0.24,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/181,181,DanSimon,2015-04-06T19:15:32Z,2015-04-06T19:40:23Z,5,1,106,4,0,,,0.41,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/182,182,nsauro,2015-04-06T19:57:28Z,2015-04-06T20:18:00Z,2,4,3,1,0,,,0.34,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/183,183,dangermike,2015-04-10T17:40:20Z,2015-04-13T14:49:13Z,2,1,20,2,0,,,69.15,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/185,185,dangermike,2015-04-13T16:47:32Z,2015-04-13T19:23:07Z,1,1,2,1,0,,,2.59,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/186,186,dangermike,2015-04-13T22:17:07Z,2015-04-14T14:31:19Z,1,1,4,0,0,,,16.24,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/188,188,DanSimon,2015-04-17T17:52:53Z,2015-04-17T18:02:46Z,2,1,39,0,0,,,0.16,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/190,190,DanSimon,2015-04-22T20:08:24Z,2015-04-22T20:19:08Z,2,1,19,3,0,,,0.18,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/192,192,DanSimon,2015-04-27T18:29:39Z,2015-04-27T21:18:24Z,2,2,77,2,0,,,2.81,0,0
