org,repo,url,number,author,created_at,merged_at,base_branch,head_branch,changed_files,commits,additions,deletions,reviews,time_of_1st_review,reviewers,hrs_open,hrs_to_1st_review,mins_to_1st_review
"okta","okta-cli","https://github.com/okta/okta-cli/pull/93",93,"dependabot","2021-03-06T21:42:50Z","2021-03-26T20:53:08Z","master","dependabot/github_actions/actions/upload-artifact-v2.2.2",1,1,2,2,0,"","",479.17,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/97",97,"dependabot","2021-03-06T21:42:58Z","2021-03-26T22:31:29Z","master","dependabot/maven/org.apache.maven.plugins-maven-failsafe-plugin-3.0.0-M5",1,1,1,1,0,"","",480.81,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/102",102,"dependabot","2021-03-06T21:43:02Z","2021-03-26T22:30:52Z","master","dependabot/maven/org.testng-testng-7.4.0",1,1,1,1,0,"","",480.8,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/103",103,"dependabot","2021-03-06T21:43:03Z","2021-03-26T21:07:51Z","master","dependabot/maven/org.projectlombok-lombok-1.18.18",1,1,1,1,0,"","",479.41,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/105",105,"dependabot","2021-03-06T21:43:06Z","2021-03-26T21:07:38Z","master","dependabot/maven/org.mockito-mockito-core-3.8.0",2,1,2,2,0,"","",479.41,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/107",107,"dependabot","2021-03-06T21:43:06Z","2021-03-26T20:54:58Z","master","dependabot/maven/com.github.tomakehurst-wiremock-standalone-2.27.2",1,1,1,1,0,"","",479.2,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/109",109,"mraible","2021-03-07T01:05:00Z","2021-03-07T23:03:55Z","master","patch-2",1,1,15,4,1,"2021-03-07T02:25:43Z","bdemers",21.98,1.35,80.72
"okta","okta-cli","https://github.com/okta/okta-cli/pull/112",112,"mraible","2021-03-10T17:03:34Z","2021-03-24T15:10:36Z","master","spa-command",2,2,115,11,1,"2021-03-11T20:57:23Z","bdemers",334.12,27.9,1673.82
"okta","okta-cli","https://github.com/okta/okta-cli/pull/115",115,"dependabot","2021-03-17T07:25:03Z","2021-03-26T22:31:12Z","master","dependabot/maven/pl.project13.maven-git-commit-id-plugin-4.0.4",1,1,1,1,0,"","",231.1,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/116",116,"dependabot","2021-03-17T07:45:24Z","2021-03-26T20:55:27Z","master","dependabot/github_actions/DeLaGuardo/setup-graalvm-4.0",1,1,2,2,0,"","",229.17,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/117",117,"dependabot","2021-03-19T07:28:30Z","2021-03-26T21:08:40Z","master","dependabot/maven/org.springframework.boot-spring-boot-maven-plugin-2.4.4",1,1,1,1,0,"","",181.67,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/119",119,"MannyDiera","2021-03-20T17:33:46Z","2021-03-23T16:58:59Z","master","flatpak-instructions",1,1,1,1,1,"2021-03-23T16:58:32Z","bdemers",71.42,71.41,4284.77
"okta","okta-cli","https://github.com/okta/okta-cli/pull/120",120,"dependabot","2021-03-22T09:04:06Z","2021-03-26T21:13:09Z","master","dependabot/maven/com.github.spotbugs-spotbugs-maven-plugin-4.2.2",1,1,1,1,0,"","",108.15,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/121",121,"dependabot","2021-03-23T07:45:47Z","2021-03-26T20:53:39Z","master","dependabot/maven/org.owasp-dependency-check-maven-6.1.3",1,1,1,1,0,"","",85.13,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/122",122,"bdemers","2021-03-26T14:31:21Z","2021-03-26T21:16:21Z","master","web-prompt-tweak",2,2,2,1,2,"2021-03-26T20:50:17Z","bdemers,arvindkrishnakumar-okta",6.75,6.32,378.93
"okta","okta-cli","https://github.com/okta/okta-cli/pull/123",123,"dependabot","2021-03-26T20:53:59Z","2021-03-26T21:14:25Z","master","dependabot/maven/org.codehaus.mojo-build-helper-maven-plugin-3.2.0",1,1,1,1,0,"","",0.34,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/124",124,"dependabot","2021-03-26T20:55:06Z","2021-03-26T21:13:47Z","master","dependabot/maven/com.fasterxml.jackson-jackson-bom-2.12.2",1,1,2,2,0,"","",0.31,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/128",128,"dependabot","2021-03-26T21:10:09Z","2021-03-26T21:32:26Z","master","dependabot/maven/com.okta-okta-parent-19",1,1,1,1,0,"","",0.37,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/129",129,"dependabot","2021-03-26T21:13:35Z","2021-03-26T22:30:37Z","master","dependabot/maven/info.picocli-picocli-4.6.1",1,1,2,2,0,"","",1.28,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/132",132,"dependabot","2021-03-26T21:32:46Z","2021-03-26T21:52:40Z","master","dependabot/maven/org.powermock-powermock-module-testng-2.0.9",1,1,2,2,1,"2021-03-26T21:52:27Z","bdemers",0.33,0.33,19.68
"okta","okta-cli","https://github.com/okta/okta-cli/pull/133",133,"bdemers","2021-03-26T21:44:46Z","2021-03-26T22:02:11Z","master","slfj-version",2,1,4,3,1,"2021-03-26T21:54:24Z","arvindkrishnakumar-okta",0.29,0.16,9.63
"okta","okta-cli","https://github.com/okta/okta-cli/pull/135",135,"dependabot","2021-03-26T22:02:37Z","2021-03-26T22:22:52Z","master","dependabot/maven/org.yaml-snakeyaml-1.28",1,1,2,1,0,"","",0.34,0,0
