org,repo,url,number,author,created_at,merged_at,changed_files,commits,additions,deletions,reviews,time_of_first_review,reviewers,hours_open,hours_to_first_review,minutes_to_first_review
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/259",259,"nbarbettini","2018-08-23T18:35:34Z","2018-08-23T20:38:15Z",38,2,120,80,1,"2018-08-23T18:36:04Z",[["laura-rodriguez"]],2.04,0.01,0.5
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/262",262,"laura-rodriguez","2018-08-28T19:28:27Z","2018-09-04T13:36:16Z",4,3,179,41,1,"2018-09-04T13:06:26Z",[["nbarbettini"]],162.13,161.63,9697.98
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/263",263,"laura-rodriguez","2018-08-28T19:38:02Z","2018-09-04T13:07:37Z",1,1,19,19,1,"2018-09-04T13:07:31Z",[["nbarbettini"]],161.49,161.49,9689.48
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/269",269,"laura-rodriguez","2018-09-07T17:29:05Z","2018-09-07T20:07:49Z",9,4,74,5,1,"2018-09-07T19:59:47Z",[["robertjd"]],2.65,2.51,150.7
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/270",270,"laura-rodriguez","2018-09-07T18:25:34Z","2018-09-18T19:16:10Z",1,3,46,46,1,"2018-09-14T03:44:15Z",[["nbarbettini"]],264.84,153.31,9198.68
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/273",273,"vijetmahabaleshwar-okta","2018-09-13T19:23:32Z","2018-09-17T16:37:30Z",3,1,6,0,3,"2018-09-13T19:24:34Z",[["vijetmahabaleshwar-okta","nbarbettini","laura-rodriguez"]],93.23,0.02,1.03
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/277",277,"laura-rodriguez","2018-09-18T19:44:40Z","2018-09-19T20:57:03Z",2,2,25,7,1,"2018-09-19T20:56:04Z",[["nbarbettini"]],25.21,25.19,1511.4
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/278",278,"laura-rodriguez","2018-09-18T20:05:04Z","2018-11-22T00:01:59Z",110,21,4594,57,19,"2018-09-26T21:58:23Z",[["robertjd","laura-rodriguez","vijetmahabaleshwar-okta","nbarbettini"]],1539.95,193.89,11633.32
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/280",280,"nbarbettini","2018-09-21T00:34:12Z","2018-09-21T14:49:22Z",3,4,63,11,1,"2018-09-21T14:45:15Z",[["laura-rodriguez"]],14.25,14.18,851.05
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/283",283,"laura-rodriguez","2018-09-28T14:59:53Z","2018-10-01T19:57:15Z",6,2,167,122,2,"2018-09-28T15:30:02Z",[["nbarbettini","vijetmahabaleshwar-okta"]],76.96,0.5,30.15
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/285",285,"laura-rodriguez","2018-10-09T16:32:03Z","2018-10-09T17:03:35Z",1,1,1,1,0,"",[],0.53,0,0
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/286",286,"vijetmahabaleshwar-okta","2018-10-10T20:20:19Z","2018-10-10T20:50:36Z",1,2,5,0,1,"2018-10-10T20:27:00Z",[["laura-rodriguez"]],0.5,0.11,6.68
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/291",291,"laura-rodriguez","2018-11-29T17:09:48Z","2018-12-04T16:11:48Z",1,1,4,2,1,"2018-11-29T18:32:23Z",[["nbarbettini"]],119.03,1.38,82.58
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/292",292,"laura-rodriguez","2018-12-04T16:29:33Z","2018-12-13T20:32:30Z",2,1,654,13,1,"2018-12-04T16:33:18Z",[["bdemers"]],220.05,0.06,3.75
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/293",293,"laura-rodriguez","2018-12-13T19:00:59Z","2018-12-21T21:17:07Z",11,8,509,6,15,"2018-12-14T17:36:26Z",[["bradhaverstein-okta","laura-rodriguez"]],194.27,22.59,1355.45
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/295",295,"laura-rodriguez","2018-12-21T21:24:48Z","2018-12-21T21:41:42Z",1,1,1,1,1,"2018-12-21T21:38:03Z",[["bretterer"]],0.28,0.22,13.25
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/297",297,"justinhelgerson","2018-12-31T05:24:11Z","2019-01-05T00:52:21Z",2,4,35,5,7,"2019-01-03T19:11:58Z",[["bradhaverstein-okta","justinhelgerson"]],115.47,85.8,5147.78
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/299",299,"vijetmahabaleshwar-okta","2019-01-11T19:30:04Z","2019-01-14T17:27:33Z",1,1,1,1,1,"2019-01-14T14:27:59Z",[["nbarbettini"]],69.96,66.97,4017.92
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/300",300,"laura-rodriguez","2019-01-11T20:37:43Z","2019-01-14T21:30:42Z",3,4,70,3,2,"2019-01-14T18:31:44Z",[["bradhaverstein-okta","laura-rodriguez"]],72.88,69.9,4194.02
