org,repo,url,number,author,created_at,merged_at,changed_files,commits,additions,deletions,reviews,time_of_first_review,reviewers,hours_open,hours_to_first_review,minutes_to_first_review
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/89",89,"justinabrokwah-okta","2020-07-21T16:14:57Z","2020-07-21T17:40:36Z",1,2,10,3,1,"2020-07-21T16:33:03Z",[["bretterer"]],1.43,0.3,18.1
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/90",90,"justinabrokwah-okta","2020-07-23T17:43:07Z","2020-07-23T20:23:17Z",373,12,16530,1382,2,"2020-07-23T20:13:42Z",[["bretterer","laura-rodriguez"]],2.67,2.51,150.58
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/91",91,"justinabrokwah-okta","2020-07-23T20:35:49Z","2020-07-30T15:00:58Z",1,1,0,0,1,"2020-07-30T15:00:27Z",[["bretterer"]],162.42,162.41,9744.63
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/92",92,"justinabrokwah-okta","2020-07-30T14:19:35Z","2020-07-30T15:01:36Z",12,9,4637,2,1,"2020-07-30T14:59:49Z",[["bretterer"]],0.7,0.67,40.23
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/93",93,"justinabrokwah-okta","2020-08-05T21:01:35Z","2020-08-12T14:57:30Z",19,9,7281,1,1,"2020-08-12T14:50:02Z",[["bretterer"]],161.93,161.81,9708.45
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/94",94,"justinabrokwah-okta","2020-08-06T13:44:48Z","2020-08-06T14:01:07Z",3,2,764,12,1,"2020-08-06T13:47:14Z",[["bretterer"]],0.27,0.04,2.43
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/95",95,"justinabrokwah-okta","2020-08-06T16:46:19Z","2020-08-06T18:09:23Z",8,2,1486,0,1,"2020-08-06T18:07:16Z",[["bretterer"]],1.38,1.35,80.95
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/96",96,"justinabrokwah-okta","2020-08-07T18:57:49Z","2020-08-10T14:28:52Z",21,2,7347,0,3,"2020-08-08T13:42:39Z",[["bryanapellanes-okta","justinabrokwah-okta"]],67.52,18.75,1124.83
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/97",97,"justinabrokwah-okta","2020-08-10T19:08:42Z","2020-08-10T19:30:43Z",10,1,2608,7,1,"2020-08-10T19:17:28Z",[["bretterer"]],0.37,0.15,8.77
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/98",98,"justinabrokwah-okta","2020-08-12T14:16:31Z","2020-08-12T18:42:19Z",4,6,345,105,3,"2020-08-12T15:18:29Z",[["bretterer"]],4.43,1.03,61.97
